case	game	suite	category	question_class	lane	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	judge_cost_usd	tools	retries	loops	trace	langsmith_trace	error
gh2-item-013-element-potion	gloomhaven-2e	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2648	1525	-	2570/102/2672	0	0.0500	0.0031	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499a-afa9-7000-8000-023969781008?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499a-afa9-7000-8000-023969781008?poll=true	-
gh2-prod-monster-ranged-disadvantage-trap-path	gloomhaven-2e	table-qa	rulebook	rules-synthesis	deep	faq		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		30949	20662	-	1395/1217/20919	11431	0.0500	0.0477	0.0024	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499a-c29f-7000-8000-009fbdbef271?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499a-c29f-7000-8000-009fbdbef271?poll=true	-
gh2-monster-ability-bandit-scout-music-note2-solo-bandit-scout-music-note2-solo	gloomhaven-2e	table-qa	monster-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2195	1522	-	2819/52/2871	0	0.0500	0.0031	0.0013	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-46ac-7000-8000-02a68ee4d42c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-46ac-7000-8000-02a68ee4d42c?poll=true	-
gh2-character-mat-bruiser	gloomhaven-2e	table-qa	character-mats	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		7717	5460	-	967/290/8615	6170	0.0500	0.0109	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-551c-7000-8000-02e4d3038247?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-551c-7000-8000-02e4d3038247?poll=true	-
gh2-monster-city-archer-normal-level-2	gloomhaven-2e	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1935	1307	-	2461/41/2502	0	0.0500	0.0027	0.0013	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-78ab-7000-8000-01f5f647fca9?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-78ab-7000-8000-01f5f647fca9?poll=true	-
gh2-scenario-8-barrow-lair	gloomhaven-2e	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3376	1595	-	4258/162/4420	0	0.0500	0.0051	0.0019	6	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-88d9-7000-8000-00583e41d911?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-88d9-7000-8000-00583e41d911?poll=true	-
gh2-item-002-winged-shoes	gloomhaven-2e	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2598	1564	-	2615/72/2687	0	0.0500	0.0030	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-9fa7-7000-8000-03bc859f7222?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-9fa7-7000-8000-03bc859f7222?poll=true	-
gh2-character-ability-doomstalker-rain-of-arrows	gloomhaven-2e	table-qa	character-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3136	1337	-	2771/112/2883	0	0.0500	0.0033	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-b197-7000-8000-030c2ed0ffea?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-b197-7000-8000-030c2ed0ffea?poll=true	-
gh2-scenario-2-ruinous-crypt	gloomhaven-2e	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		4229	2421	-	3056/78/3134	0	0.0500	0.0034	0.0017	6	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-c531-7000-8000-00250e6db8cf?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-c531-7000-8000-00250e6db8cf?poll=true	-
gh2-monster-chaos-demon-normal-level-0	gloomhaven-2e	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1769	1257	-	2453/49/2502	0	0.0500	0.0027	0.0013	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-dd4e-7000-8000-02f3450fc90e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-dd4e-7000-8000-02f3450fc90e?poll=true	-
gh2-character-mat-bladewarm	gloomhaven-2e	table-qa	character-mats	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		10484	8395	-	953/321/8597	6170	0.0500	0.0112	0.0016	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-ea27-7000-8000-015e64f66ffd?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499b-ea27-7000-8000-015e64f66ffd?poll=true	-
gh2-faq-shield-ward-order	gloomhaven-2e	table-qa	rulebook	rules-synthesis	fast	faq		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		2049	1139	pass	1840/120/1960	0	0.0500	0.0024	0.0014	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-19ce-7000-8000-0339d7064cf4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-19ce-7000-8000-0339d7064cf4?poll=true	-
gh2-scenario-4-crypt-damned	gloomhaven-2e	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2234	1306	pass	2961/59/3020	0	0.0500	0.0033	0.0015	6	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-277b-7000-8000-00f6c1515fea?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-277b-7000-8000-00f6c1515fea?poll=true	-
gh2-item-010-simple-bow	gloomhaven-2e	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1747	1177	-	1596/76/1672	0	0.0500	0.0020	0.0017	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-387c-7000-8000-038ee95b1f8e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-387c-7000-8000-038ee95b1f8e?poll=true	-
gh2-monster-ability-archer-shoot-foot	gloomhaven-2e	table-qa	monster-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1998	1182	-	2464/60/2524	0	0.0500	0.0028	0.0012	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-4708-7000-8000-03c25fa0c427?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-4708-7000-8000-03c25fa0c427?poll=true	-
gh2-monster-bandit-archer-elite-level-7	gloomhaven-2e	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1864	1180	-	2645/67/2712	0	0.0500	0.0030	0.0014	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-5400-7000-8000-01dd36bbf260?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-5400-7000-8000-01dd36bbf260?poll=true	-
gh2-scenario-0-training-course	gloomhaven-2e	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2852	1964	-	4791/64/4855	0	0.0500	0.0051	0.0016	6	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-60cd-7000-8000-03d174c50f2a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-60cd-7000-8000-03d174c50f2a?poll=true	-
gh2-scenario-5-forgotten-crypt	gloomhaven-2e	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2359	1224	-	4376/85/4461	0	0.0500	0.0048	0.0016	6	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-72bd-7000-8000-003c0b270eae?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-72bd-7000-8000-003c0b270eae?poll=true	-
gh2-faq-monster-trap-strength	gloomhaven-2e	table-qa	rulebook	rules-synthesis	fast	faq		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		2439	1093	pass	1559/135/1694	0	0.0500	0.0022	0.0016	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-8247-7000-8000-031e9443dc20?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-8247-7000-8000-031e9443dc20?poll=true	-
gh2-item-008-heater-shield	gloomhaven-2e	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2394	1122	-	2438/85/2523	0	0.0500	0.0029	0.0016	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-9504-7000-8000-02f587c3c65e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/cff391fa-157b-4992-9a44-740f28354e57/r/019f499c-9504-7000-8000-02f587c3c65e?poll=true	-
