case	game	suite	category	question_class	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
rule-wound	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		16340	10420	-	7/657/21452	5450	0.0500	0.0099	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-6037-7000-8000-01ad4b73a61d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-6037-7000-8000-01ad4b73a61d?poll=true	-
building-mining-camp-level-1	frosthaven	table-qa	buildings	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1782	1780	pass	3/99/5567	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-a631-7000-8000-026916c854df?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-a631-7000-8000-026916c854df?poll=true	-
item-crude-helmet	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1858	1855	pass	3/96/5558	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-b1f6-7000-8000-02752a932d31?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-b1f6-7000-8000-02752a932d31?poll=true	-
fh-character-ability-boneshaper-life-in-death	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		6683	6679	-	7/293/14719	5464	0.0500	0.0044	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-be4d-7000-8000-02d298384504?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-be4d-7000-8000-02d298384504?poll=true	-
item-crude-boots	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1674	1673	-	3/96/5551	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-e158-7000-8000-02922de3fbc2?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-e158-7000-8000-02922de3fbc2?poll=true	-
fh-item-012-crude-chain-armor	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1847	1846	-	3/101/5559	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-ee5d-7000-8000-038f321d1481?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-ee5d-7000-8000-038f321d1481?poll=true	-
drifter-ignore-negative-item-effects-correction	frosthaven	table-qa	character-mats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3771	3769	-	6/156/8249	0	0.0500	0.0024	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-fc26-7000-8000-03050b63f7d0?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-fc26-7000-8000-03050b63f7d0?poll=true	-
rule-scenario-level	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		22006	13221	-	7/1057/22220	5450	0.0500	0.0159	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-10e3-7000-8000-01936f453b33?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-10e3-7000-8000-01936f453b33?poll=true	-
rule-advantage	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		27375	16492	-	7/1093/22087	5451	0.0500	0.0164	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-7074-7000-8000-02fac1621d76?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-7074-7000-8000-02fac1621d76?poll=true	-
fh-character-mat-banner-spear	frosthaven	table-qa	character-mats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1763	1761	-	3/98/5573	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-e3a6-7000-8000-0047728c19f3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-e3a6-7000-8000-0047728c19f3?poll=true	-
fh-scenario-8-crystal-trench	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2117	2115	-	3/95/5566	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-eee3-7000-8000-00261baa5efe?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-eee3-7000-8000-00261baa5efe?poll=true	-
fh-battle-goal-accountant	frosthaven	table-qa	battle-goals	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3694	3691	-	6/164/7787	0	0.0500	0.0025	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-fdba-7000-8000-03249709e633?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3461-fdba-7000-8000-03249709e633?poll=true	-
fh-rule-spent-item-recovery	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		23740	10429	fail	7/604/21716	5449	0.0500	0.0091	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-114a-7000-8000-02c849d8f8ca?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-114a-7000-8000-02c849d8f8ca?poll=true	-
fh-rule-retaliate-timing	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		17718	10008	fail	7/794/17736	5459	0.0500	0.0119	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-764f-7000-8000-006b909a8976?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-764f-7000-8000-006b909a8976?poll=true	-
fh-personal-quest-581-the-study-of-plants	frosthaven	table-qa	personal-quests	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		5397	5395	-	6/249/7994	0	0.0500	0.0038	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-c7a3-7000-8000-02cc4e031d57?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-c7a3-7000-8000-02cc4e031d57?poll=true	-
fh-scenario-5-frozen-crypt	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1774	1773	-	3/95/5566	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-e594-7000-8000-0086c5826ce1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-e594-7000-8000-0086c5826ce1?poll=true	-
fh-character-ability-blinkblade-blurry-jab	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		7849	7846	-	7/378/14884	5469	0.0500	0.0057	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-f387-7000-8000-035b77ce4e55?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3462-f387-7000-8000-035b77ce4e55?poll=true	-
monster-flame-demon-elite	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1889	1888	-	3/99/5561	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-1e4a-7000-8000-01523f6bb8fd?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-1e4a-7000-8000-01523f6bb8fd?poll=true	-
item-spyglass	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1747	1746	-	3/96/5558	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-2975-7000-8000-03a850b882bb?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-2975-7000-8000-03a850b882bb?poll=true	-
scenario-7-edge-world-unlocks	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1728	1727	pass	3/100/5568	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-36a1-7000-8000-0003fbcab381?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-36a1-7000-8000-0003fbcab381?poll=true	-
fh-item-009-protective-scepter	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		2160	2159	-	3/102/5561	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-4444-7000-8000-012cce64c62f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-4444-7000-8000-012cce64c62f?poll=true	-
fh-monster-abael-scout-elite-level-7	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2447	2447	-	3/80/5540	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-5487-7000-8000-03a13ec2391d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-5487-7000-8000-03a13ec2391d?poll=true	-
fh-monster-abael-herder-normal-level-0	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1677	1676	-	3/82/5544	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-630a-7000-8000-039d7bb8d7b6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-630a-7000-8000-039d7bb8d7b6?poll=true	-
fh-item-004-crude-hide-armor	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		4542	4540	-	3/101/5559	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-72a4-7000-8000-005e91922978?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-72a4-7000-8000-005e91922978?poll=true	-
fh-multihop-scenario-14-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	retrieval	0.8	pass		11162	8177	fail	12/409/22413	11244	0.0500	0.0061	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-8c3d-7000-8000-007762b9e9bf?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-8c3d-7000-8000-007762b9e9bf?poll=true	-
fh-battle-goal-acrobat	frosthaven	table-qa	battle-goals	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		4024	4022	-	6/158/7791	0	0.0500	0.0024	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-d4a7-7000-8000-018f54b852ac?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-d4a7-7000-8000-018f54b852ac?poll=true	-
fh-scenario-4a-heart-of-ice-a	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1926	1925	-	3/96/5567	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-e95b-7000-8000-001197b1dc52?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-e95b-7000-8000-001197b1dc52?poll=true	-
fh-scenario-6-avalanche	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1902	1901	-	3/95/5566	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-f841-7000-8000-03c745a179d1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3463-f841-7000-8000-03c745a179d1?poll=true	-
building-alchemist	frosthaven	table-qa	buildings	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		7214	7210	-	7/333/14189	5459	0.0500	0.0050	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-0698-7000-8000-00afa4e27755?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-0698-7000-8000-00afa4e27755?poll=true	-
fh-item-006-flexible-slippers	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2167	2165	-	3/101/5559	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-2b81-7000-8000-007ea4aabba3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-2b81-7000-8000-007ea4aabba3?poll=true	-
fh-character-mat-blinkblade	frosthaven	table-qa	character-mats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1757	1756	-	3/99/5575	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-39ef-7000-8000-00816a716257?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-39ef-7000-8000-00816a716257?poll=true	-
fh-character-ability-coral-overwhelming-wave	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		6191	6189	-	7/292/14678	5462	0.0500	0.0044	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-44df-7000-8000-01138aa24a62?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-44df-7000-8000-01138aa24a62?poll=true	-
tool-free-assistant-game	frosthaven	table-qa	tool-free	exact-lookup	application		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1254	1249	-	3/31/5483	0	0.0500	0.0005	0	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-67db-7000-8000-01d01e7b2ba1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-67db-7000-8000-01d01e7b2ba1?poll=true	-
fh-monster-ability-algox-icespeaker-warding-swipe	frosthaven	table-qa	monster-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		14796	11652	-	9/559/41507	22043	0.0500	0.0084	3	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-76bc-7000-8000-039177f80c5d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-76bc-7000-8000-039177f80c5d?poll=true	-
fh-multihop-scenario-8-read-now-chain	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		8916	6909	fail	12/357/20844	11245	0.0500	0.0054	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-b773-7000-8000-024f7f14933c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-b773-7000-8000-024f7f14933c?poll=true	-
fh-monster-algox-icespeaker-normal-level-2	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1757	1756	-	3/103/5567	0	0.0500	0.0016	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-e0a4-7000-8000-03bedf210719?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-e0a4-7000-8000-03bedf210719?poll=true	-
fh-personal-quest-582-searching-for-the-oak	frosthaven	table-qa	personal-quests	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		6315	6313	-	6/272/8028	0	0.0500	0.0041	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-ee41-7000-8000-000141b977b4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3464-ee41-7000-8000-000141b977b4?poll=true	-
fh-multihop-scenario-23-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		10427	10424	fail	12/393/23155	11343	0.0500	0.0059	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-1040-7000-8000-0303efe70388?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-1040-7000-8000-0303efe70388?poll=true	-
fh-monster-abael-warlord-normal-level-0	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1887	1886	-	3/83/5546	0	0.0500	0.0013	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-4150-7000-8000-00271e2c2ee3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-4150-7000-8000-00271e2c2ee3?poll=true	-
fh-monster-abael-warlord-normal-level-5	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1554	1553	-	3/83/5546	0	0.0500	0.0013	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-50c4-7000-8000-012090b45831?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-50c4-7000-8000-012090b45831?poll=true	-
rule-poison	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		16382	10544	-	7/603/20392	5450	0.0500	0.0090	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-5d72-7000-8000-03adb12a8511?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-5d72-7000-8000-03adb12a8511?poll=true	-
fh-scenario-0-howling-in-the-snow	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1827	1825	-	3/95/5566	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-a469-7000-8000-0083b12a9ed0?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-a469-7000-8000-0083b12a9ed0?poll=true	-
fh-monster-ability-abael-herder-fish-net	frosthaven	table-qa	monster-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		7121	7117	-	7/298/18057	5462	0.0500	0.0045	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-b317-7000-8000-0246c2838a14?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3465-b317-7000-8000-0246c2838a14?poll=true	-
